"geolocation_lat","geolocation_lng","customer_id","customer_city","customer_state","order_status","order_purchase_timestamp","order_approved_at","order_estimated_delivery_date","order_delivered_carrier_date","order_delivered_customer_date","payment_type","payment_value","payment_sequential","payment_installments"
-23.96707671547605,-46.3914737492793,"2be831e199cd5308b6e3ab6f36718526",sao vicente,SP,delivered,"2017-11-25 00:22:16","2017-11-25 03:11:59","2017-12-11 00:00:00","2017-11-27 23:08:35","2017-11-30 20:55:54",credit_card,141.35,1,1
-23.969123066988654,-46.38419627052499,"2be831e199cd5308b6e3ab6f36718526",sao vicente,SP,delivered,"2017-11-25 00:22:16","2017-11-25 03:11:59","2017-12-11 00:00:00","2017-11-27 23:08:35","2017-11-30 20:55:54",credit_card,141.35,1,1
-23.96636950769149,-46.38246602307445,"2be831e199cd5308b6e3ab6f36718526",sao vicente,SP,delivered,"2017-11-25 00:22:16","2017-11-25 03:11:59","2017-12-11 00:00:00","2017-11-27 23:08:35","2017-11-30 20:55:54",credit_card,141.35,1,1
-23.96788917380286,-46.39023802193288,"2be831e199cd5308b6e3ab6f36718526",sao vicente,SP,delivered,"2017-11-25 00:22:16","2017-11-25 03:11:59","2017-12-11 00:00:00","2017-11-27 23:08:35","2017-11-30 20:55:54",credit_card,141.35,1,1
-23.962905597207097,-46.39461143535124,"2be831e199cd5308b6e3ab6f36718526",sao vicente,SP,delivered,"2017-11-25 00:22:16","2017-11-25 03:11:59","2017-12-11 00:00:00","2017-11-27 23:08:35","2017-11-30 20:55:54",credit_card,141.35,1,1
-23.973091964987617,-46.38508529248555,"2be831e199cd5308b6e3ab6f36718526",sao vicente,SP,delivered,"2017-11-25 00:22:16","2017-11-25 03:11:59","2017-12-11 00:00:00","2017-11-27 23:08:35","2017-11-30 20:55:54",credit_card,141.35,1,1
-23.969952239109467,-46.38610295955125,"2be831e199cd5308b6e3ab6f36718526",sao vicente,SP,delivered,"2017-11-25 00:22:16","2017-11-25 03:11:59","2017-12-11 00:00:00","2017-11-27 23:08:35","2017-11-30 20:55:54",credit_card,141.35,1,1
-23.967151376020983,-46.38580082147959,"2be831e199cd5308b6e3ab6f36718526",sao vicente,SP,delivered,"2017-11-25 00:22:16","2017-11-25 03:11:59","2017-12-11 00:00:00","2017-11-27 23:08:35","2017-11-30 20:55:54",credit_card,141.35,1,1
-23.973091964987617,-46.38508529248555,"2be831e199cd5308b6e3ab6f36718526",sao vicente,SP,delivered,"2017-11-25 00:22:16","2017-11-25 03:11:59","2017-12-11 00:00:00","2017-11-27 23:08:35","2017-11-30 20:55:54",credit_card,141.35,1,1
-23.969783087120938,-46.38852547808469,"2be831e199cd5308b6e3ab6f36718526",sao vicente,SP,delivered,"2017-11-25 00:22:16","2017-11-25 03:11:59","2017-12-11 00:00:00","2017-11-27 23:08:35","2017-11-30 20:55:54",credit_card,141.35,1,1
